baseline_id	paper_title	has_code	repo_url	clone_commit	model_loading_paths	decoding_paths	intervention_paths	evaluation_paths	analysis_paths	script_paths	reusable_patterns	anti_patterns	best_impl_base_for_new_ideas	notes
01_POPE	Evaluating object hallucination in large vision-language models	true	https://github.com/RUCAIBox/POPE.git	08d957b917e5a378a2f99d35b6293c536a66298b	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	unknown	metric_generation_coupling_risk	unknown_until_code_survey	Manifest-only index; full code structure survey is not completed in Phase 2.
02_DeCo	MLLM can see? Dynamic correction decoding for hallucination mitigation	true	https://github.com/zjunlp/DeCo.git	c1a9129f43de016fb60d14619d98301b0426f961	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	decoding_wrapper	metric_generation_coupling_risk	unknown_until_code_survey	Manifest-only index; full code structure survey is not completed in Phase 2.
03_LVLMs-Saliency	Hallucination begins where saliency drops	true	https://github.com/zhangbaijin/LVLMs-Saliency.git	05c0d0d5b42d39179711fadcfdac0b3c45d59c87	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	attention_hook	metric_generation_coupling_risk	unknown_until_code_survey	Manifest-only index; full code structure survey is not completed in Phase 2.
04_AdaIAT	AdaIAT: Adaptively increasing attention to generated text to alleviate hallucinations in LVLM	true	https://github.com/XianguiKang/AdaIAT.git	a0bf78e8c8c98bcc740bdb00a9d43ba05de64798	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	attention_hook	metric_generation_coupling_risk	unknown_until_code_survey	Manifest-only index; full code structure survey is not completed in Phase 2.
05_PND_no_released_code	Breaking the illusion: When positive meets negative in multimodal decoding	false									decoding_wrapper	metric_generation_coupling_risk	unknown_until_code_survey	No public code snapshot in manifest; paper-only entry needs manual review.
06_CausalLens	CausalLens: Sensitivity-guided multi-head causal intervention for hallucination mitigation in large vision-language models	true	https://github.com/jijy20/CausalLens.git	7d93bf291f8d3052926c4d058a7b4f8435ded407	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	layerwise_recorder	metric_generation_coupling_risk	unknown_until_code_survey	Manifest-only index; full code structure survey is not completed in Phase 2.
07_IMCCD	Cross-modal attention calibration for LVLM hallucination mitigation	true	https://github.com/lijm48/IMCCD.git	9db52a0d868198298cf45cbb1f2d760d3f4678f7	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	attention_hook	metric_generation_coupling_risk	unknown_until_code_survey	Manifest-only index; full code structure survey is not completed in Phase 2.
08_KVSmooth_no_code_found	KVSmooth: Mitigating hallucination in multi-modal large language models through key-value smoothing	false									unknown	metric_generation_coupling_risk	unknown_until_code_survey	No public code snapshot in manifest; paper-only entry needs manual review.
09_PAS	PAS: Prelim attention score for detecting object hallucinations in large vision-language models	true	https://github.com/lanl/PAS.git	28bedb6f0caf1f373336d9a55a2dc2b6c5396466	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	attention_hook	metric_generation_coupling_risk	unknown_until_code_survey	Manifest-only index; full code structure survey is not completed in Phase 2.
10_Residual-Decoding_no_code_found	Residual decoding: Mitigating hallucinations in large vision-language models via history-aware residual guidance	false									decoding_wrapper	metric_generation_coupling_risk	unknown_until_code_survey	No public code snapshot in manifest; paper-only entry needs manual review.
11_SADT_placeholder_only	Same attention, different truths: Put logit-lens over visual attention to detect and mitigate LVLM object hallucination	false									attention_hook	metric_generation_coupling_risk	unknown_until_code_survey	No public code snapshot in manifest; paper-only entry needs manual review.
12_LEAD	Thinking in uncertainty: Mitigating hallucinations in MLRMs with latent entropy-aware decoding	true	https://github.com/mlrm-LEAD/mlrm-LEAD.git	dd2651d2ce04abba0e77af803fad42177a51d7b1	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	decoding_wrapper	metric_generation_coupling_risk	unknown_until_code_survey	Manifest-only index; full code structure survey is not completed in Phase 2.
13_DaID_no_code_found	Spotlight and shadow: Attention-guided dual-anchor introspective decoding for MLLM hallucination mitigation	false									decoding_wrapper	metric_generation_coupling_risk	unknown_until_code_survey	No public code snapshot in manifest; paper-only entry needs manual review.
14_REVIS	Revis: Sparse latent steering to mitigate object hallucination in large vision-language models	true	https://github.com/antgroup/Revis.git	75f4d29d402d4c1c4dbb2c69e88e3aa50cd0c9cc	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	unknown	metric_generation_coupling_risk	unknown_until_code_survey	Manifest-only index; full code structure survey is not completed in Phase 2.
15_InsLen_placeholder_only	Instruction lens score: Your instruction contributes a powerful object hallucination detector for multimodal large language models	false									unknown	metric_generation_coupling_risk	unknown_until_code_survey	No public code snapshot in manifest; paper-only entry needs manual review.
16_RUDDER_no_public_github	Adaptive residual-update steering for low-overhead hallucination mitigation in large vision language models	false									unknown	metric_generation_coupling_risk	unknown_until_code_survey	No public code snapshot in manifest; paper-only entry needs manual review.
17_ILVAD	Finding the correct visual evidence without forgetting: Mitigating hallucination in LVLMs via inter-layer visual attention discrepancy	true	https://github.com/ytx-ML/ILVAD.git	fd346b561eb438175b27313a7d16a20983324ba6	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	needs_code_survey	attention_hook	metric_generation_coupling_risk	unknown_until_code_survey	Manifest-only index; full code structure survey is not completed in Phase 2.
